company,Date,ROE(%),EPS
1229,2005,8.42,1.4
1229,2004,7.12,1.08
1229,2003,4.1,0.99
1229,2002,3.06,0.44
1229,2001,1.8,0.25
1229,2000,6.59,0.91
1231,2016,16.2,3.07
1231,2015,13.22,2.41
1231,2014,8.65,1.51
1231,2013,13.96,2.59
1231,2012,16,3
1231,2011,17.16,3.02
1231,2010,16.35,2.65
1231,2009,6.67,1.03
1231,2008,5.41,0.85
1231,2007,4.42,0.7
1231,2006,2.42,0.42
1231,2005,2.5,0.45
1231,2004,2.89,0.44
1231,2003,4.82,0.74
1231,2002,4.23,0.62
1231,2001,5.42,0.75
1231,2000,9.44,1.15
1232,2016,24.03,5.58
1232,2015,25.3,5.7
1232,2014,29.42,6.17
1232,2013,23.24,4.42
1232,2012,15,2.77
1232,2011,19.84,3.67
1232,2010,23.24,4.19
1232,2009,21.74,3.68
1232,2008,17.99,2.93
1232,2007,20.57,3.21
1232,2006,16.14,2.39
1232,2005,14.65,2.06
1232,2004,10.17,1.4
1232,2003,13.44,1.88
1232,2002,15.77,2.15
1232,2001,16.14,2.12
1232,2000,12.43,1.53
1233,2016,11.8,1.87
1233,2015,14.4,2.31
1233,2014,15.84,2.54
1233,2013,15.62,2.55
1233,2012,14.99,2.56
1233,2011,16.28,2.59
1233,2010,15.64,2.32
1233,2009,13.82,1.94
1233,2008,12.23,1.66
1233,2007,11.36,1.49
1233,2006,12.83,1.7
1233,2005,12.55,1.64
1233,2004,15.28,1.93
1233,2003,12.58,1.52
1233,2002,9.85,1.19
1233,2001,7.07,0.81
1233,2000,5.38,0.62
1234,2016,6.27,2.75
1234,2015,3.57,1.54
1234,2014,2.25,0.98
1234,2013,1.64,0.64
1234,2012,48.98,15.14
1234,2011,3.48,0.73
1234,2010,3.43,0.62
1234,2009,3.39,0.6
1234,2008,2.21,0.39
1234,2007,1.61,0.28
1234,2006,1.23,0.21
1234,2005,1.09,0.18
1234,2004,0.49,0.08
1234,2003,3.54,0.53
1234,2002,4.31,0.63
1234,2001,3.33,0.48
1234,2000,5.01,0.73
1235,2016,10.67,3.81
1235,2015,3.48,0.8
1235,2014,4.82,0.97
1235,2013,-4.97,-0.84
1235,2012,1.38,0.27
1235,2011,1.65,0.35
1235,2010,1.6,0.29
1235,2009,2.1,0.33
1235,2008,1.91,0.28
1235,2007,10.76,1.75
1235,2006,2.3,0.36
1235,2005,3.76,0.65
1235,2004,10.42,1.58
1235,2003,9.95,1.51
1235,2002,13.29,2.04
1235,2001,14.12,2.08
1235,2000,8.59,1.19
1236,2016,3.97,0.69
1236,2015,5.38,0.94
1236,2014,9.84,1.55
1236,2013,9.02,1.26
1236,2012,9.57,1.28
1236,2011,13.11,1.83
1236,2010,11.25,1.58
1236,2009,14.05,2.03
1236,2008,11.35,1.55
1236,2007,12.96,1.72
1236,2006,4.52,0.59
1236,2005,15.98,2.16
1236,2004,13.11,1.74
1236,2003,18.16,2.39
1236,2002,10.73,1.33
1236,2001,5.26,0.66
1236,2000,8.59,1.07
1256,2016,25.3,8.35
1256,2015,24.54,7.76
1256,2014,33.36,9.85
1256,2013,40.5,12.27
1256,2012,26.49,5.66
1256,2011,37.21,5.54
1256,2010,,4.15
1258,2016,18.09,3.83
1258,2015,17.6,3.79
1258,2014,14.78,2.73
1258,2013,9.95,1.7
1258,2012,13.85,2.36
1258,2011,20.82,3.17
1258,2010,47.3,4.71
1258,2009,46.27,4.25
1258,2008,39.59,3.56
1258,2007,,1.95
1259,2016,8.98,5.37
1259,2015,5.27,4.05
1259,2014,2.79,2.86
1259,2013,1.45,2.45
1259,2012,2.16,3.16
1259,2011,13.82,7.1
1259,2010,33.12,7.91
1259,2009,28.86,5.01
1259,2008,31.37,4.42
1259,2007,35.32,4.4
1259,2006,24.4,1.82
1259,2005,,1.22
1262,2016,17.87,12.29
1262,2015,16.23,10.51
1262,2014,20.88,10.4
1262,2013,30.08,10.22
1262,2012,64.6,953.59
1262,2011,77.01,551.84
1262,2010,,212.37
1264,2016,21.94,14.54
1264,2015,22.01,13.33
1264,2014,24.69,11.42
